ClipName,Frame,RootT.x,RootT.y,RootT.z,FootLeftT.x,FootLeftT.y,FootLeftT.z,FootRightT.x,FootRightT.y,FootRightT.z,FootLeftV.x,FootLeftV.y,FootLeftV.z,FootRightV.x,FootRightV.y,FootRightV.z,rootV.x,rootV.x,rootV.x,RootQ.x,RootQ.y,RootQ.z,RootQ.w
Turn45Left,60,-322.9935,90.72673,1229.512,-13.41597,-77.91973,-1.194527,5.100078,-82.98416,-25.43411,-0.004240926,-0.002638245,0.05002034,-0.011162,-0.01189194,0.1390635,0.0310061,-0.006266276,0.00391674,0,0,0,1
Turn45Left,61,-323.1592,90.43343,1231.236,-13.63821,-78.07117,3.244448,6.05736,-83.08749,-25.278,-0.005522664,-0.009776561,0.05746663,-0.007407951,-0.005047862,0.1479658,0.0319094,-0.003444417,0.005203819,0,0,0,1
Turn45Left,62,-323.3658,89.9693,1233.199,-13.93505,-78.04742,7.412011,6.699209,-83.06071,-25.54142,-0.0068868,-0.01547114,0.06541341,-0.009894911,0.0007914225,0.1389187,0.02139495,0.0008928935,-0.008780734,0,0,0,1
Turn45Left,63,-323.6158,89.37763,1235.415,-14.4215,-77.87864,12.27294,7.169682,-82.86618,-26.53386,-0.008332316,-0.01972224,0.07386068,-0.01621497,0.00562617,0.1620309,0.01568243,0.006484223,-0.03308118,0,0,0,1
Turn45Left,64,-323.9115,88.70175,1237.899,-14.32958,-77.59496,15.37528,7.72719,-82.4773,-27.50338,-0.009858195,-0.02252935,0.08280029,0.003064028,0.009456126,0.1034114,0.01858363,0.0129626,-0.03231741,0,0,0,1
Turn45Left,65,-324.2554,87.98497,1240.666,-13.5482,-77.22651,18.49657,8.559073,-81.86749,-29.45629,-0.01146444,-0.02389272,0.0922404,0.02604602,0.01228155,0.104043,0.02772943,0.020327,-0.06509711,0,0,0,1
Turn45Left,66,-324.6501,87.27058,1243.731,-12.44868,-76.99552,19.76295,9.285954,-81.01015,-31.32994,-0.01315409,-0.02381287,0.1021769,0.03665078,0.007699585,0.04221255,0.02422934,0.02857793,-0.0624548,0,0,0,1
Turn45Left,67,-325.0977,86.60191,1247.11,-11.31064,-77.01232,20.04509,10.00787,-79.87869,-33.65401,-0.01492208,-0.02228902,0.1126139,0.03793443,-0.0005599976,0.009404628,0.02406403,0.0377154,-0.07746932,0,0,0,1
Turn45Left,68,-325.6009,86.02227,1250.816,-8.930273,-77.139,18.25703,11.68946,-78.44651,-37.13581,-0.01677348,-0.01932144,0.1235474,0.0793457,-0.004222616,-0.05960197,0.05605268,0.04773941,-0.1160599,0,0,0,1
Turn45Left,69,-326.1621,85.7498,1254.865,-7.599228,-77.23767,15.88858,12.61924,-76.98664,-39.7325,-0.01870524,-0.009082286,0.1349813,0.04436817,-0.003289032,-0.0789483,0.03099286,0.04866231,-0.08655624,0,0,0,1
Turn45Left,70,-326.7836,86.15644,1259.273,-6.138425,-77.26648,12.32691,13.97708,-75.54013,-42.14715,-0.02071737,0.01355464,0.1469116,0.04869343,-0.0009602865,-0.1187223,0.04526138,0.04821701,-0.08048846,0,0,0,1
Turn45Left,71,-327.468,87.11243,1263.821,-4.430408,-78.2945,6.888926,14.74611,-73.8935,-44.9484,-0.02281189,0.0318662,0.1516032,0.05693391,-0.03426743,-0.1812661,0.02563432,0.05488764,-0.09337501,0,0,0,1
Turn45Left,72,-328.2176,87.70255,1268.288,-1.696194,-79.05461,-0.3305845,15.29648,-69.56854,-46.51255,-0.02498779,0.01967061,0.1489095,0.09114046,-0.02533696,-0.2406504,0.01834555,0.1441653,-0.05213827,0,0,0,1
Turn45Left,73,-328.8763,87.81593,1272.683,-0.2084903,-79.25723,-4.926217,14.672,-66.76105,-45.34628,-0.02195638,0.003779602,0.1465047,0.04959012,-0.006753794,-0.1531877,-0.02081601,0.09358317,0.03887583,0,0,0,1
Turn45Left,74,-329.3062,87.96159,1277.015,0.472222,-79.49991,-10.03337,12.84799,-64.34164,-42.16944,-0.01432902,0.004855092,0.1443807,0.02269041,-0.008089447,-0.1702384,-0.0608003,0.08064702,0.1058946,0,0,0,1
Turn45Left,75,-329.5371,88.16446,1281.291,0.7601542,-79.79288,-13.07299,11.83155,-63.78773,-38.00558,-0.007698568,0.006762441,0.1425374,0.00959774,-0.009765879,-0.1013208,-0.03388125,0.01846364,0.1387953,0,0,0,1
